date,name,close,per,pbr,dividendYield
2015-12-15,코스피,1932.97,14.85,1.09,1.35
2015-12-16,코스피,1969.4,15.13,1.11,1.32
2015-12-17,코스피,1977.96,15.2,1.11,1.32
2015-12-18,코스피,1975.32,15.18,1.11,1.32
2015-12-21,코스피,1981.19,15.22,1.11,1.31
2015-12-22,코스피,1992.56,15.31,1.12,1.31
2015-12-23,코스피,1999.22,15.36,1.12,1.3
2015-12-24,코스피,1990.65,15.3,1.12,1.31
2015-12-28,코스피,1964.06,15.09,1.1,1.32
2015-12-29,코스피,1966.31,15.11,1.1,1.32
2015-12-30,코스피,1961.31,15.07,1.1,1.33
2016-01-04,코스피,1918.76,14.74,1.08,1.36
2016-01-05,코스피,1930.53,14.83,1.08,1.35
2016-01-06,코스피,1925.43,14.79,1.08,1.35
2016-01-07,코스피,1904.33,14.63,1.07,1.37
2016-01-08,코스피,1917.62,14.73,1.08,1.36
2016-01-11,코스피,1894.84,14.55,1.06,1.38
2016-01-12,코스피,1890.86,14.52,1.06,1.38
2016-01-13,코스피,1916.28,14.72,1.07,1.36
2016-01-14,코스피,1900.01,14.59,1.07,1.37
2016-01-15,코스피,1878.87,14.43,1.05,1.39
2016-01-18,코스피,1878.45,14.43,1.05,1.39
2016-01-19,코스피,1889.64,14.51,1.06,1.38
2016-01-20,코스피,1845.45,14.17,1.03,1.41
2016-01-21,코스피,1840.53,14.13,1.03,1.42
2016-01-22,코스피,1879.43,14.42,1.05,1.39
2016-01-25,코스피,1893.43,14.53,1.06,1.38
2016-01-26,코스피,1871.69,14.36,1.05,1.39
2016-01-27,코스피,1897.87,14.56,1.06,1.37
2016-01-28,코스피,1906.94,14.63,1.07,1.37
2016-01-29,코스피,1912.06,14.7,1.07,1.36
2016-02-01,코스피,1924.82,14.8,1.08,1.35
2016-02-02,코스피,1906.6,14.66,1.07,1.37
2016-02-03,코스피,1890.67,14.54,1.06,1.38
2016-02-04,코스피,1916.26,14.59,1.07,1.36
2016-02-05,코스피,1917.79,14.75,1.08,1.36
2016-02-11,코스피,1861.54,15.17,1.05,1.4
2016-02-12,코스피,1835.28,14.95,1.03,1.42
2016-02-15,코스피,1862.2,15.18,1.05,1.4
2016-02-16,코스피,1888.3,15.39,1.06,1.38
2016-02-17,코스피,1883.94,15.35,1.06,1.38
2016-02-18,코스피,1908.84,15.56,1.07,1.36
2016-02-19,코스피,1916.24,15.62,1.08,1.36
2016-02-22,코스피,1916.36,15.62,1.08,1.36
2016-02-23,코스피,1914.22,15.6,1.08,1.36
2016-02-24,코스피,1912.53,15.59,1.08,1.36
2016-02-25,코스피,1918.57,15.64,1.08,1.36
2016-02-26,코스피,1920.16,15.66,1.08,1.35
2016-02-29,코스피,1916.66,15.63,1.08,1.36
2016-03-02,코스피,1947.42,15.88,1.1,1.33
2016-03-03,코스피,1958.17,15.97,1.1,1.33
2016-03-04,코스피,1955.63,15.95,1.1,1.33
2016-03-07,코스피,1957.87,15.83,1.1,1.33
2016-03-08,코스피,1946.12,15.73,1.1,1.34
2016-03-09,코스피,1952.95,15.79,1.1,1.33
2016-03-10,코스피,1969.33,15.92,1.11,1.32
2016-03-11,코스피,1971.41,15.93,1.11,1.32
2016-03-14,코스피,1972.27,15.94,1.11,1.32
2016-03-15,코스피,1969.97,15.91,1.11,1.32
2016-03-16,코스피,1974.9,15.95,1.11,1.32
2016-03-17,코스피,1987.99,16.05,1.12,1.31
2016-03-18,코스피,1992.12,16.19,1.12,1.3
2016-03-21,코스피,1989.76,16.15,1.12,1.3
2016-03-22,코스피,1996.81,16.21,1.12,1.3
2016-03-23,코스피,1995.12,16.19,1.12,1.3
2016-03-24,코스피,1985.97,16.12,1.12,1.31
2016-03-25,코스피,1983.81,16.1,1.12,1.31
2016-03-28,코스피,1982.54,16.09,1.12,1.31
2016-03-29,코스피,1994.91,16.19,1.12,1.3
2016-03-30,코스피,2002.14,16.26,1.13,1.3
2016-03-31,코스피,1995.85,16.2,1.12,1.3
2016-04-01,코스피,1973.57,16.02,1.11,1.32
2016-04-04,코스피,1978.97,16.06,1.11,1.31
2016-04-05,코스피,1962.74,15.93,1.11,1.32
2016-04-06,코스피,1971.32,16.0,1.11,1.32
2016-04-07,코스피,1973.89,16.02,1.11,1.32
2016-04-08,코스피,1972.05,16.01,1.11,1.32
2016-04-11,코스피,1970.37,16.0,1.11,1.32
2016-04-12,코스피,1981.32,16.09,1.12,1.31
2016-04-14,코스피,2015.93,16.39,1.14,1.29
2016-04-15,코스피,2014.71,16.38,1.14,1.29
2016-04-18,코스피,2009.1,16.34,1.13,1.29
2016-04-19,코스피,2011.36,16.35,1.13,1.29
2016-04-20,코스피,2005.83,16.31,1.13,1.3
2016-04-21,코스피,2022.1,16.45,1.14,1.29
2016-04-22,코스피,2015.49,16.39,1.14,1.29
2016-04-25,코스피,2014.55,16.38,1.13,1.29
2016-04-26,코스피,2019.63,16.42,1.14,1.29
2016-04-27,코스피,2015.4,16.38,1.14,1.29
2016-04-28,코스피,2000.93,16.26,1.13,1.3
2016-04-29,코스피,1994.15,16.21,1.12,1.28
2016-05-02,코스피,1978.15,13.86,1.04,1.69
2016-05-03,코스피,1986.41,13.92,1.05,1.68
2016-05-04,코스피,1976.71,13.85,1.04,1.69
2016-05-09,코스피,1967.81,13.79,1.04,1.7
2016-05-10,코스피,1982.5,13.89,1.05,1.68
2016-05-11,코스피,1980.1,13.87,1.04,1.69
2016-05-12,코스피,1977.49,13.86,1.04,1.69
2016-05-13,코스피,1966.99,13.79,1.04,1.7
2016-05-16,코스피,1967.91,13.79,1.04,1.7
2016-05-17,코스피,1968.06,13.8,1.04,1.7
2016-05-18,코스피,1956.73,13.72,1.03,1.71
2016-05-19,코스피,1946.78,13.65,1.03,1.71
2016-05-20,코스피,1947.67,13.66,1.03,1.71
2016-05-23,코스피,1955.25,13.71,1.03,1.71
2016-05-24,코스피,1937.68,13.59,1.02,1.72
2016-05-25,코스피,1960.51,13.75,1.03,1.7
2016-05-26,코스피,1957.06,13.73,1.03,1.7
2016-05-27,코스피,1969.17,13.81,1.04,1.69
2016-05-30,코스피,1967.13,13.8,1.04,1.7
2016-05-31,코스피,1983.4,13.91,1.05,1.68
2016-06-01,코스피,1982.72,13.91,1.05,1.68
2016-06-02,코스피,1985.11,13.92,1.05,1.68
2016-06-03,코스피,1985.84,13.93,1.05,1.68
2016-06-07,코스피,2011.63,14.11,1.06,1.66
2016-06-08,코스피,2027.08,14.22,1.07,1.65
2016-06-09,코스피,2024.17,14.2,1.07,1.65
2016-06-10,코스피,2017.63,14.15,1.06,1.65
2016-06-13,코스피,1979.06,13.88,1.04,1.69
2016-06-14,코스피,1972.03,13.83,1.04,1.69
2016-06-15,코스피,1968.83,13.81,1.04,1.69
2016-06-16,코스피,1951.99,13.69,1.03,1.71
2016-06-17,코스피,1953.4,13.7,1.03,1.71
2016-06-20,코스피,1981.12,13.9,1.05,1.68
2016-06-21,코스피,1982.7,13.92,1.05,1.68
2016-06-22,코스피,1992.58,13.99,1.05,1.67
